100,500,1000,5000,10000,50000,100000,500000,1000000,
4,27,127,347,899,4562,9845,60687,127089
7,28,58,365,746,7266,9870,58631,130159
8,26,82,345,736,4533,10480,63466,126340
8,47,110,354,742,4514,10346,60906,125850
4,50,145,348,1001,4563,9751,61692,126892
5,38,59,360,745,7220,10714,58086,122597
4,27,56,343,740,4768,9637,68975,126807
8,45,106,350,735,4411,10896,60508,126618
3,26,55,347,732,4825,9771,58803,126074
4,48,101,344,762,4517,10733,58766,131359
8,48,61,348,752,4726,9653,58617,126480
7,49,103,344,738,4462,9968,58055,125177
7,26,59,343,942,4820,10045,57835,125186
7,58,59,351,733,4478,9673,58662,125153
8,48,103,343,738,4454,9713,58189,127975
8,47,88,353,755,4504,9799,57938,128099
7,59,101,346,771,4514,10297,59146,126812
8,48,105,346,753,4645,10377,59005,121770
8,49,104,341,759,4554,9853,56992,127167
7,49,99,341,749,4566,9985,60562,127263
7,48,99,346,751,4485,10021,60324,123287
7,47,95,354,746,4516,9729,57339,126187
8,48,58,349,737,4699,9690,58756,125513
8,49,102,341,769,4508,9816,56948,129015
4,38,57,358,761,4715,9914,58326,124159
8,27,59,355,754,4535,9906,57175,125137
4,28,58,341,737,4468,9875,57521,124182
7,49,59,352,738,4541,9659,61868,129919
8,28,66,345,738,4588,10635,57880,127539
4,49,59,342,743,4650,9791,58018,124194
8,48,59,354,752,4551,10550,57932,125893
8,47,99,350,756,4660,10246,63881,126645
4,50,102,338,731,4712,9946,62751,129235
7,49,103,353,736,4500,9845,60853,125062
4,28,59,351,745,4446,9646,57973,123736
8,28,58,350,741,4722,9987,57737,125984
7,46,99,345,742,5335,9898,58398,124066
7,48,104,352,757,4511,9672,59076,127066
9,27,104,353,771,4431,9714,56777,124163
7,47,112,351,739,4579,11444,58686,125033
7,50,100,344,746,4450,9775,60804,123818
8,49,60,352,755,4562,9889,57586,125969
6,28,59,354,736,4491,9863,57743,125112
8,46,101,355,735,4812,9843,57614,125198
8,47,99,344,1047,4447,9643,59129,124761
8,46,101,354,743,4604,10026,58241,125592
4,27,60,336,764,4514,10494,58761,124617
8,48,63,365,750,5355,9719,58904,124526
8,27,56,342,753,4554,10760,59694,124682
8,47,104,341,740,4452,9852,59654,127657
7,28,58,348,763,4999,9718,63971,128052
8,48,100,357,731,4622,9721,57607,123940
7,48,105,353,748,4729,9897,60390,126023
7,46,99,341,761,4514,10310,57688,130425
7,45,57,345,831,4667,10087,60910,128208
4,48,56,352,730,4730,9781,60212,122808
8,47,100,345,748,4545,9805,56736,129145
8,47,101,347,745,4449,9676,58472,126334
4,26,56,347,747,5017,9694,57680,124993
4,33,58,349,1038,6370,9714,65920,126155
7,48,109,344,791,4510,9698,62709,122364
8,48,101,347,758,4508,9750,57609,124804
4,48,102,336,755,4541,10532,57361,126573
8,49,60,349,734,4468,9874,57241,127513
8,99,105,345,750,4488,10045,59822,129589
4,26,56,351,743,4600,9859,60352,124738
4,26,56,347,745,4687,10271,58196,125874
8,48,113,349,749,5206,10560,57348,124744
7,49,103,352,755,4740,9658,61460,124392
4,27,57,348,748,4506,9872,57795,124859
7,47,98,346,774,4492,9839,61992,123839
7,48,80,351,748,5026,9828,57327,126891
7,47,101,345,760,4484,9668,58470,125194
4,65,57,342,732,4532,9771,58440,128116
4,28,60,344,750,4593,10145,57796,122558
8,28,59,339,743,4473,10007,58033,129569
8,49,84,408,741,5611,9694,58150,125330
6,45,99,345,758,4852,9759,59926,129412
8,47,102,347,743,4672,10519,59607,126460
7,47,101,352,751,4559,9798,60457,125384
4,26,56,383,751,4483,9744,58127,124007
4,27,59,339,761,4631,9824,56669,128561
8,26,55,339,749,4498,9695,60443,126785
8,49,59,344,738,5313,9628,58460,127530
8,28,57,351,741,4498,9696,59970,125699
7,47,103,347,739,4609,10664,57282,123975
4,26,54,410,754,4545,9736,59490,123931
7,48,101,344,741,4476,9804,57984,122160
4,28,58,341,756,4877,9656,61388,128002
8,28,60,353,740,4611,9872,58349,125456
4,26,56,344,744,4490,9648,56583,122759
4,26,102,344,751,4460,10008,58370,123814
4,26,56,353,1129,5192,9775,57923,126282
7,57,101,345,728,4492,9849,58073,128583
4,26,58,344,741,4591,9719,60572,127296
7,47,103,342,750,5431,9827,61787,124692
8,47,58,345,734,4486,9776,60783,125172
8,46,60,354,744,4429,9891,58277,127315
7,47,100,354,740,4674,10622,58791,124993
8,48,65,342,783,4740,10389,57958,124464
